frame_number,timestamp,raw_points_count,stable_points_count,display_points_count,raw_min_snr,raw_max_snr,raw_mean_snr,display_min_x,display_max_x,display_mean_x,display_min_y,display_max_y,display_mean_y,display_min_z,display_max_z,display_mean_z,display_min_doppler,display_max_doppler,display_mean_doppler,target_count,active_target_ids,presence
599,2026-05-29 16:14:39.864,84,340,60,6.239999771118164,1749.3599853515625,250.46856689453125,-1.005827784538269,1.1253235340118408,0.11279501765966415,0.5369000434875488,1.4862691164016724,0.9759124517440796,0.23008236289024353,0.9898074865341187,0.8122247457504272,-0.2088800072669983,0.0,-0.006962666753679514,0,,1
600,2026-05-29 16:14:39.865,87,355,70,6.519999980926514,2176.119873046875,235.19351196289062,-1.091331124305725,1.1253235340118408,0.1500796228647232,0.5369000434875488,1.5049858093261719,0.9916776418685913,0.22546729445457458,0.9898074865341187,0.7787619829177856,-0.4174800217151642,0.06972000002861023,-0.027832001447677612,0,,1
601,2026-05-29 16:14:40.003,75,340,70,0.0,2322.0,241.1781463623047,-1.091331124305725,1.1253235340118408,0.13373173773288727,0.5369000434875488,1.5049858093261719,0.9818012714385986,0.22546729445457458,0.9898074865341187,0.8107990026473999,-0.4174800217151642,0.06972000002861023,-0.02186400257050991,0,,1
602,2026-05-29 16:14:40.006,75,345,72,0.0,1582.52001953125,199.58291625976562,-1.091331124305725,1.1253235340118408,0.11926127970218658,0.5369000434875488,1.5049858093261719,0.9804996848106384,0.21384409070014954,0.9898074865341187,0.7926784157752991,-0.6263599991798401,0.06972000002861023,-0.04735500365495682,0,,1
603,2026-05-29 16:14:40.008,79,355,81,0.0,1440.0,178.31442260742188,-1.091331124305725,1.1253235340118408,0.07888054102659225,0.5369000434875488,1.5049858093261719,1.0194488763809204,0.21384409070014954,0.9898074865341187,0.7978317141532898,-0.6263599991798401,0.0,-0.05928049609065056,0,,1
604,2026-05-29 16:14:40.162,94,365,84,0.0,1830.760009765625,164.074462890625,-1.091331124305725,1.080296277999878,0.042316287755966187,0.5369000434875488,1.5049858093261719,1.0128371715545654,0.21384409070014954,0.9898074865341187,0.7828221917152405,-0.6958000063896179,0.0,-0.0712466686964035,0,,1
605,2026-05-29 16:14:40.165,91,360,90,0.0,2158.52001953125,192.5001983642578,-0.9754813313484192,1.0096415281295776,0.07229543477296829,0.5369000434875488,1.8259671926498413,1.0320978164672852,0.20882150530815125,0.9898074865341187,0.7321167588233948,-0.6958000063896179,0.0,-0.1074826642870903,0,,1
606,2026-05-29 16:14:40.317,77,363,94,0.0,1788.1199951171875,197.1158447265625,-0.9754813313484192,1.0096415281295776,0.09529473632574081,0.5369000434875488,1.8259671926498413,1.0250201225280762,0.20882150530815125,0.9898074865341187,0.7132779955863953,-0.6958000063896179,0.0,-0.11623574048280716,0,,1
607,2026-05-29 16:14:40.319,82,368,93,0.0,1624.8800048828125,178.4580535888672,-0.9754813313484192,0.9993851780891418,0.09676709771156311,0.5369000434875488,1.8259671926498413,1.025835633277893,0.20882150530815125,0.9898074865341187,0.7164419889450073,-0.6958000063896179,0.0,-0.10775785893201828,1,0,1
608,2026-05-29 16:14:40.321,97,391,104,0.0,2135.119873046875,191.7290802001953,-0.9754813313484192,1.0020735263824463,0.18216799199581146,0.5369000434875488,1.8259671926498413,0.9942603707313538,0.20882150530815125,0.9898074865341187,0.6676198244094849,-0.6958000063896179,0.0,-0.12780922651290894,1,0,1
609,2026-05-29 16:14:40.502,88,387,102,0.0,1549.760009765625,159.85272216796875,-0.9754813313484192,1.0020735263824463,0.20981186628341675,0.5369000434875488,1.8157603740692139,0.9759295582771301,0.20882150530815125,0.9898074865341187,0.6859169602394104,-0.6263599991798401,0.0,-0.12008431553840637,2,1;0,1
610,2026-05-29 16:14:40.505,79,378,95,0.0,1726.52001953125,183.22076416015625,-0.8903422355651855,1.0020735263824463,0.27029895782470703,0.5369000434875488,1.8157603740692139,0.977509617805481,0.20882150530815125,0.9898074865341187,0.6944249868392944,-0.4872000217437744,0.06972000002861023,-0.11574021726846695,1,0,1
611,2026-05-29 16:14:40.508,82,382,94,0.0,1999.239990234375,218.6492462158203,-0.8903422355651855,1.0020735263824463,0.3048548400402069,0.5369000434875488,1.5193068981170654,0.9659770131111145,0.20882150530815125,0.9898074865341187,0.7163358926773071,-0.4872000217437744,0.13916000723838806,-0.12363191694021225,1,1,1
612,2026-05-29 16:14:40.511,72,365,94,8.519999504089355,1826.0,277.0672302246094,-0.8903422355651855,1.0020735263824463,0.30861231684684753,0.5369000434875488,1.5193068981170654,0.969349205493927,0.23008236289024353,0.9898074865341187,0.7171312570571899,-0.4872000217437744,0.13916000723838806,-0.11623276770114899,1,0,1
613,2026-05-29 16:14:40.704,93,370,89,0.0,2272.239990234375,180.09548950195312,-0.8111541867256165,0.9523429870605469,0.3093973994255066,0.5369000434875488,1.5193068981170654,0.9910145401954651,0.22914990782737732,0.9898074865341187,0.7322815656661987,-0.4174800217151642,0.13916000723838806,-0.09070427715778351,1,0,1
614,2026-05-29 16:14:40.706,85,359,87,0.0,2612.8798828125,276.305419921875,-0.8111541867256165,0.9411123991012573,0.3154084384441376,0.5369000434875488,1.402689814567566,1.0146393775939941,0.22914990782737732,0.9898074865341187,0.7040371298789978,-0.4174800217151642,0.13916000723838806,-0.07519126683473587,1,0,1
615,2026-05-29 16:14:40.708,87,357,81,6.0,2539.0,324.405029296875,-0.7401012778282166,0.9862785935401917,0.3952328860759735,0.5369000434875488,1.437277913093567,0.997253954410553,0.22914990782737732,0.9898074865341187,0.6716328263282776,-0.4174800217151642,1.948240041732788,-0.019765928387641907,1,0,1
616,2026-05-29 16:14:40.922,81,365,81,6.519999980926514,1906.3599853515625,260.805419921875,-0.7401012778282166,0.9862785935401917,0.38503241539001465,0.5369000434875488,1.4838244915008545,0.9918092489242554,0.21576642990112305,0.9898074865341187,0.6562603712081909,-0.34804001450538635,1.948240041732788,-0.003442964516580105,1,0,1
617,2026-05-29 16:14:40.924,84,385,79,0.0,2121.760009765625,217.25953674316406,-0.7401012778282166,0.9862785935401917,0.37646326422691345,0.5369000434875488,1.4838244915008545,0.9986281394958496,0.21576642990112305,0.9898074865341187,0.6674209833145142,-0.34804001450538635,1.948240041732788,0.008811138570308685,1,0,1
618,2026-05-29 16:14:40.927,88,395,75,6.87999963760376,2391.0,250.7131805419922,-0.2118379771709442,1.0850179195404053,0.5464958548545837,0.4916664659976959,1.4838244915008545,0.9521835446357727,0.21576642990112305,1.0556082725524902,0.6625216603279114,-0.34804001450538635,1.948240041732788,0.021347202360630035,1,0,1
619,2026-05-29 16:14:40.930,86,383,72,0.0,2005.3599853515625,238.39578247070312,-0.22814589738845825,1.0850179195404053,0.5451393127441406,0.4916664659976959,1.4838244915008545,0.9415096640586853,0.21576642990112305,1.0556082725524902,0.690033495426178,-0.4174800217151642,1.948240041732788,0.004841666202992201,1,0,1
